cid,drug,dili,dose,mw,fsp3,clogp,psa,clogd,ion,eccs,bddcs,cFuHPPB,cFuBrain,fu_liver,fu_bsa,kp,kpuu,bsep,hepg2_72h,hepg2_gal,hepg2_glu,mrp2,mrp3,mrp4,thle,fu_plasma,fu_bsa_exp,fu_liver_exp,kpuu_exp,cmax
66245,sotalol hydrochloride,Ambiguous,320,272.3638,0.5,0.226,78.43,-1.752,Basic,Class 4,Class 3,0.948,0.285,0.285,1,NA,NA,0,NA,NA,NA,0,0,0,0,1,NA,NA,NA,1.50977
59772,sumatriptan succinate,Ambiguous,200,295.4004,0.428571429,0.743,65.2,-1.082,Basic,Class 4,Class 1,0.793,0.386,0.386,0.777,NA,NA,0,1.788704259,0,0,0,0,0,0,0.777,NA,NA,NA,0.051
6456015,sunitinib malate,Most,50,398.4738,0.363636364,2.998,77.23,2.231,Basic,Class 4,Class 1,0.0972,0.0865,0.00265,0.172,131.4,2.024476744,4.437562902,5.495231122,4.630784441,4.842474554,0,0,0,4.866024986,0.1205,0.172,0.00265,2.024476744,0.0271
2540,candesartan cilexetil,Less,32,610.6597,0.333333333,7.084,143.34,3.28,Acidic,Class 3B,Class 4,0.00095,0.00221,0.00221,0.01,NA,NA,NA,4.100829361,4.116040505,3.88778462,NA,NA,NA,4.008633547,0.01,NA,NA,NA,0.117
441308,metoprolol tartrate,Less,450,267.3639,0.6,1.486,50.72,-0.2638,Basic,Class 2,Class 1,0.83,0.0717,0.164,0.836,4.24,0.831770335,0,0,0,0,0,0,0,0,0.786,0.836,0.164,0.831770335,0.132
11065,amitriptyline hydrochloride,Less,150,277.4033,0.3,4.851,3.24,2.744,Basic,Class 4,Class 1,0.0877,0.00594,0.00169,0.199,115.91,0.984361307,0,4.613464666,4.201183733,4.222463983,0,0,0,3.973064477,0.1193,0.199,0.00169,0.984361307,0.0294
62882,propranolol hydrochloride,Ambiguous,240,259.3434,0.375,2.753,41.49,1.182,Basic,Class 2,Class 1,0.332,0.0316,0.0316,0.3045,NA,NA,0,4.125073663,3.704374547,3.8211284,0,0,0,3.525442858,0.3045,NA,NA,NA,0.11
4205,mirtazapine,Less,45,265.3529,0.352941176,2.814,19.37,2.567,Basic,Class 2,Class 1,0.187,0.396,0.02,0.282,11.24,0.797163121,0,3.535407712,0,0,0,0,0,0,0.215,0.282,0.02,0.797163121,0.074405
11511120,dacomitinib,Ambiguous,45,469.939,0.291666667,5.899,79.38,3.8,Basic,Class 4,Class 0,0.0408,0.00622,0.00622,0.02,NA,NA,NA,5.36715275,4.810026438,4.780913402,NA,NA,NA,5.877190571,0.02,NA,NA,NA,0.01312
38409,ticrynafen,Most,250,331.1712,0.076923077,3.233,63.6,-0.0684,Acidic,Class 1A,Class 2,0.00412,0.0856,0.116,0.0761,27.24,41.52220762,0,0,0,0,NA,NA,NA,1.977992894,NA,0.0761,0.116,41.52220762,NA
11578213,delafloxacin meglumine,Unknown,900,440.7605,0.166666667,1.954,121.68,-0.0437,Acidic,Class 3B,Class 0,0.249,0.4,0.4,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277,NA,NA,NA,NA
2907,cyclophosphamide,Less,350,261.086,1,0.803,41.57,0.7658,Neutral,Class 2,Class 1,0.892,0.153,0.153,0.0142,0.71,7.65,0,0,0,0,0,0,0,0,0.76,0.0142,NA,NA,NA
115366,clopidogrel bisulfate,Less,75,321.8217,0.3125,4.208,29.54,4.06,Neutral,Class 2,Class 2,0.0509,0.0192,0.0192,0.02,12.56,12.0576,4.142667504,NA,NA,NA,0,0,0,NA,0.02,NA,NA,NA,0.018
5073,risperidone,Less,16,410.4845,0.52173913,2.711,64.16,1.7,Basic,Class 2,Class 1,0.131,0.0439,0.0471,0.488,19.66,1.897512295,0,3.66624037,3.876566725,0,0,0,0,3.747233998,0.3615,0.488,0.0471,1.897512295,0.0263
5755,prednisolone,Less,60,360.444,0.714285714,1.423,94.83,1.8,Neutral,Class 4,Class 1,0.414,0.24,0.141,0.328,5.17,2.222469512,0,0,0,0,0,0,0,NA,0.494,0.328,0.141,2.222469512,0.391
3081361,vandetanib,Ambiguous,300,475.354,0.363636364,5.836,59.51,3.098,Basic,Class 4,Class 2,0.0217,0.00236,0.00236,0.116,NA,NA,NA,5.218801854,4.636944394,4.885814482,NA,NA,NA,5.773874688,0.116,NA,NA,NA,0.2276
64139,efavirenz,Most,600,315.675,0.357142857,3.726,38.33,4.81,Neutral,Class 2,Class 2,0.0155,0.00429,0.000895,0.0182,49.6,2.439120879,0,4.069781499,4.016701306,3.826827854,0,0,0,4.086929414,0.005,0.0182,0.000895,2.439120879,4.571
1983,acetaminophen,Most,4000,151.1626,0.125,0.494,49.33,0.3067,Neutral,Class 2,Class 1,0.445,0.0712,0.122,0.622,1.25,0.245176849,0,0,0,0,0,0,0,0,0.75,0.622,0.122,0.245176849,12.5
135398513,acyclovir,Less,4800,225.2046,0.375,-2.422,119.05,-0.4,Neutral,Class 4,Class 4,0.607,0.406,0.406,0.665,1.51,0.921894737,0,0,0,0,0,0,0,0,0.85,0.665,NA,NA,0.83
441325,amiodarone hydrochloride,Most,800,645.3116,0.4,8.945,42.68,6.1,Basic,Class 4,Class 2,0.0133,0.000493,0.000493,0.04,514.83,6.34527975,2.183265772,4.454932848,4.307377774,4.007517727,0,0,0,4.349771182,0.04,NA,NA,NA,0.54
2247,astemizole,Unknown,10,458.5703,0.321428571,5.837,42.32,5,Basic,Class 4,Class 2,0.0083,0.00269,0.00269,0.033,NA,NA,4.230622674,NA,NA,NA,0,0,0,4.776316677,0.033,NA,NA,NA,0.00155
50088,bepridil hydrochloride,Unknown,300,366.5396,0.5,6.2,15.71,4.45,Basic,Class 4,Class 1,0.0401,0.0188,0.0188,0.0047,NA,NA,NA,4.647758003,4.201027199,4.140796052,NA,NA,NA,4.235580171,0.0047,NA,NA,NA,0.69
44093,captopril,Less,150,217.2853,0.777777778,0.89,57.61,-0.891,Acidic,Class 3A,Class 3,0.88,0.876,0.876,0.7,43.75,54.75,0,0,0,0,0,0,0,0,0.7,NA,NA,NA,0.75
2756,cimetidine,Less,1600,252.3392,0.5,0.19,88.89,-0.153,Basic,Class 4,Class 3,0.99,0.28,0.285,0.776,11.92,4.377835052,0,0,0,0,0,0,0,0,0.753,0.776,0.285,4.377835052,1.241
5281068,chlorpheniramine maleate,None,24,274.7885,0.3125,3.148,16.13,1.403,Basic,Class 2,Class 1,0.556,0.209,0.029,0.296,74.11,7.260777027,0,3.596088856,0,0,0,0,0,1.79194824,0.494,0.296,0.029,7.260777027,0.0114
5959,chloramphenicol,None,3000,323.1294,0.363636364,1.283,115.38,1.101,Neutral,Class 2,Class 1,0.212,0.111,0.181,0.415,4.55,1.984457831,0,NA,NA,NA,NA,0,0,NA,0.522,0.415,0.181,1.984457831,16.9
62999,ciprofloxacin hydrochloride,Most,1500,331.3415,0.411764706,-0.725,74.57,-0.5293,Zwitter,Class 3A,Class 4,0.833,0.419,0.192,0.679,7.1,2.007658321,0,0,0,0,0,0,0,0,0.715,0.679,0.192,2.007658321,2.97
13770,cyproheptadine hydrochloride,Less,20,287.3981,0.238095238,5.302,3.24,3.172,Basic,Class 2,Class 1,0.0866,0.00786,0.000777,0.84,72.28,0.066859,NA,NA,NA,NA,NA,NA,NA,4.139712314,NA,0.84,0.000777,0.066859,NA
62884,bupropion hydrochloride,Less,300,239.7411,0.461538462,3.211,29.1,2.075,Basic,Class 2,Class 1,0.353,0.142,0.142,0.39,4.43,1.612974359,0,0,0,0,0,0,0,0,0.16,0.39,NA,NA,0.1191
6604100,dantrolene sodium,Most,400,314.253,0.071428571,1.631,120.73,2.043,Acidic,Class 2,Class 1,0.00874,0.0343,0.0314,0.121,7.43,1.928115702,0,NA,NA,NA,NA,NA,NA,NA,0.11,0.121,0.0314,1.928115702,NA
448537,diethylstilbestrol,Less,30,268.3502,0.222222222,4.956,40.46,4.8,Neutral,Class 4,Class 0,0.0067,0.00143,0.00143,0.0067,NA,NA,NA,4.433826851,4.630041073,4.347503587,NA,NA,NA,4.553567814,NA,NA,NA,NA,0.0034
84029,clarithromycin,Most,1000,747.9534,0.947368421,2.374,182.91,1.458,Basic,Class 2,Class 3,0.372,0.229,0.0831,0.56,10.97,1.627869643,0,3.59007432,1.815098101,1.843574011,0,0,0,3.611239926,0.341,0.56,0.0831,1.627869643,2.261
5018304,diclofenac sodium,Most,200,296.1486,0.071428571,4.726,49.33,1.187,Acidic,Class 1A,Class 2,0.00242,0.0545,0.0458,0.0123,4.68,17.42634146,4.432239523,0,0,0,NA,NA,NA,3.675467644,0.003796,0.0123,0.0458,17.42634146,1.5437
8980,diphenhydramine hydrochloride,None,50,255.3547,0.294117647,3.452,12.47,1.721,Basic,Class 2,Class 1,0.37,0.0425,0.0337,0.559,12.85,0.774677996,0,3.729979691,0,0,0,0,0,0,0.4935,0.559,0.0337,0.774677996,0.0876
3278,ethacrynic acid,Ambiguous,400,303.138,0.230769231,3.445,63.6,0.00817,Acidic,Class 1A,Class 0,0.00695,0.17,0.17,0.0055,NA,NA,0,NA,NA,NA,5.41453927,4.018181393,0,NA,0.0055,NA,NA,NA,NA
30928,disopyramide phosphate,Less,800,339.4745,0.428571429,2.576,59.22,-1.2,Basic,Class 4,Class 3,0.331,0.176,0.4,0.678,5.22,3.079646018,0,0,0,0,0,0,0,0,0.3715,0.678,0.4,3.079646018,2.22
5991,ethinyl estradiol,Unknown,0.025,296.4034,0.6,3.864,40.46,4.1,Neutral,Class 2,Class 0,0.0299,0.0294,0.0294,0.03,NA,NA,4.853871964,3.927331087,0,0,0,0,0,3.891365246,0.03,NA,NA,NA,0.0001073
91452,fenfluramine hydrochloride,Unknown,30,231.2573,0.5,3.3,12.03,1.299,Basic,Class 2,Class 0,0.362,0.103,0.103,0.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41022,flecainide acetate,Less,400,414.3427,0.588235294,3.66,59.59,0.9582,Basic,Class 2,Class 1,0.84,0.0168,0.00749,0.602,24.13,0.300222093,NA,3.900778753,0,0,NA,NA,NA,0,0.73,0.602,0.00749,0.300222093,0.21
3559,haloperidol,Less,15,375.8642,0.380952381,3.849,40.54,2.205,Basic,Class 2,Class 2,0.106,0.0123,0.000956,0.233,72.6,0.297878112,0,4.543335292,2.027121375,2.049113655,0,0,0,1.886363027,0.1575,0.233,0.000956,0.297878112,0.0019
62857,fluoxetine hydrochloride,Less,60,309.3261,0.294117647,4.566,21.26,2,Basic,Class 4,Class 1,0.0666,0.00436,0.000651,0.0819,163.08,1.296276923,0,4.943460545,4.701928349,4.713093654,0,0,0,4.298318916,0.11,0.0819,0.000651,1.296276923,0.0496
5754,hydrocortisone,None,240,362.4599,0.80952381,1.887,94.83,1.524,Neutral,Class 2,Class 1,0.488,0.239,0.167,0.616,25.06,6.793863636,NA,0,0,0,NA,NA,NA,0,0.423,0.616,0.167,6.793863636,0.58163
3672,ibuprofen,Less,1200,206.2808,0.461538462,3.679,37.3,1.04,Acidic,Class 1A,Class 2,0.016,0.104,0.104,0.017233333,65.31,394.1338568,0,0,0,0,NA,NA,NA,0,0.017233333,NA,NA,NA,22.9
8228,imipramine hydrochloride,Less,150,280.4073,0.368421053,5.037,6.48,2.155,Basic,Class 2,Class 1,0.208,0.0161,0.00378,0.335,95.03,1.072278806,0,4.085726177,3.762534765,3.801370401,0,0,0,3.875361874,0.196,0.335,0.00378,1.072278806,0.0345
3702,indapamide,Ambiguous,5,365.8345,0.1875,2.957,92.5,2.229,Neutral,Class 2,Class 1,0.0427,0.0544,0.0544,0.329,NA,NA,0,NA,NA,NA,0,0,0,0,0.329,NA,NA,NA,0.098
3767,isoniazid,Most,386,137.1393,0,-0.668,68.01,-0.613,Neutral,Class 2,Class 1,0.622,0.177,0.177,1,NA,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA,2.5
6047,levodopa,None,420,197.1879,0.222222222,-2.82,103.78,-0.782,Zwitter,Class 3A,Class 1,0.751,0.468,0.468,0.166,116.03,327.1207229,0,3.797213394,1.822475824,1.812142145,0,0,0,1.830865419,0.166,NA,NA,NA,0.302
4173,metronidazole,Less,2250,171.154,0.5,-0.457,83.87,-0.293,Neutral,Class 2,Class 1,0.913,0.319,1,0.878,58.36,66.46924829,0,0,0,0,0,0,0,0,0.892,0.878,1,66.46924829,12.7
68539,clomipramine hydrochloride,Most,250,314.8523,0.368421053,5.921,6.48,2.6,Basic,Class 4,Class 1,0.0672,0.0049,0.000571,0.118,261,1.262974576,0,4.681053838,4.324725923,4.299930992,0,0,0,4.240193712,0.118,0.118,0.000571,1.262974576,0.092
5362119,lisinopril,Less,80,405.4879,0.571428571,-1.822,132.96,0.1184,Zwitter,Class 3B,Class 3,0.964,0.212,0.212,0.879,53.88,12.99494881,0,0,0,0,0,0,0,0,1,0.879,NA,NA,0.078
456201,ketoconazole,Most,400,531.4309,0.384615385,3.635,69.06,4.61,Basic,Class 4,Class 2,0.014,0.00207,0.00149,0.0712,44.75,0.936481742,5.363462522,4.112107044,4.27337365,3.765243213,0,0,4.161150909,4.335158714,0.017875,0.0712,0.00149,0.936481742,4.22
4485,nifedipine,Less,120,346.3346,0.294117647,3.125,110.45,2.55,Neutral,Class 2,Class 2,0.0757,0.0184,0.0184,0.0319,39.74,22.92213166,4.317288273,3.939098278,3.615051922,2.116678341,0,0,4.779891912,4.271027173,0.0319,NA,NA,NA,0.0764
6230,norethindrone,Ambiguous,0.35,298.4192,0.75,2.97,37.3,2.88,Neutral,Class 2,Class 1,0.057,0.0499,0.0499,0.39,NA,NA,4.259637311,3.788399914,0,0,0,0,0,0,0.39,NA,NA,NA,0.0198
66068,procainamide hydrochloride,Less,6000,235.3253,0.461538462,1.423,58.36,-0.7894,Basic,Class 2,Class 3,0.761,0.4,0.162,1,2.65,0.4293,0,NA,NA,NA,0,0,0,0,0.874,1,0.162,0.4293,2.03
1775,phenytoin,Most,600,252.268,0.066666667,2.085,58.2,2.334,Acidic,Class 1A,Class 2,0.298,0.35,0.0453,0.0722,2.21,1.386606648,0,0,0,0,NA,NA,NA,3.538331601,0.234,0.0722,0.0453,1.386606648,4.029
4754,phenacetin,Unknown,300,179.2157,0.3,1.765,38.33,1.528,Neutral,Class 2,Class 2,0.336,0.202,0.202,0.67,NA,NA,0,NA,NA,NA,0,0,0,NA,0.67,NA,NA,NA,NA
68546,prazosin hydrochloride,Ambiguous,20,383.4011,0.315789474,2.028,106.95,1.451,Basic,Class 2,Class 1,0.111,0.0572,0.0572,0.109,NA,NA,0,4.725634688,4.462295744,4.47819796,NA,0,4.903089987,4.122081811,0.109,NA,NA,NA,0.017
6014,promethazine hydrochloride,Less,50,284.4191,0.294117647,4.4,6.48,2.532,Basic,Class 2,Class 1,0.164,0.0148,0.00153,0.166,69.47,0.640295783,0,4.839211914,4.55879205,4.376388948,0,0,0,4.101057102,0.07,0.166,0.00153,0.640295783,0.0024
9581,pseudoephedrine hydrochloride,None,240,165.2322,0.4,0.888,32.26,-1.17,Basic,Class 2,Class 3,0.916,0.246,0.246,0.752,1.71,0.559388298,0,3.543080063,0,0,NA,NA,NA,0,NA,0.752,NA,NA,0.283
441326,quinidine sulfate,Less,4000,324.4168,0.45,2.785,45.59,1.74,Basic,Class 2,Class 1,0.299,0.457,0.00677,0.419,61.1,0.987224344,0,NA,NA,NA,0,0,4.339134522,3.559703154,0.364583333,0.419,0.00677,0.987224344,0.000888
37542,ribavirin,Ambiguous,1000,244.2047,0.625,-2.849,143.72,-1.56,Neutral,Class 4,Class 1,0.903,0.393,0.393,1,NA,NA,0,NA,NA,NA,0,0,0,NA,1,NA,NA,NA,0.886
5770,reserpine,None,1,608.6787,0.515151515,3.859,117.78,4.4,Basic,Class 4,Class 1,0.0606,0.0108,9.98E-05,0.0508,180.41,0.35442752,5.078313525,4.32864262,4.156616612,3.968156835,4.164943898,0,0,4.208738721,0.011,0.0508,9.98E-05,0.35442752,0.001065
5070,riluzole,Most,100,234.1983,0.125,3.235,48.14,3.6,Neutral,Class 2,Class 1,0.017,0.0293,0.00532,0.0524,2.57,0.260923664,0,3.77988647,0,0,0,0,0,4.076478485,0.0565,0.0524,0.00532,0.260923664,0.275
5329,sulfamethoxazole,Unknown,3,253.2776,0.1,0.563,98.22,0.3185,Acidic,Class 1A,Class 2,0.0903,0.199,0.199,0.368,NA,NA,0,0,0,0,0,0,0,0,0.368,NA,NA,NA,NA
5833,spironolactone,Less,400,416.5735,0.791666667,2.839,60.44,2.632,Neutral,Class 2,Class 2,0.0673,0.0764,0.0764,0.1,NA,NA,4.293137193,3.661810099,0,0,NA,NA,NA,3.985627779,0.1,NA,NA,NA,0.1107
2733525,tamoxifen citrate,Most,40,371.5146,0.230769231,6.818,12.47,4.66,Basic,Class 2,Class 1,0.013,0.00122,0.00122,0.007,194.1,33.82885714,0,4.595320971,4.375799407,4.347180502,0,0,0,4.478541257,0.007,NA,NA,NA,0.05153
5426,thalidomide,Less,400,258.2295,0.230769231,0.528,83.55,0.893,Neutral,Class 1A,Class 2,0.534,0.54,0.239,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.45,NA,0.239,NA,1.9227
5405,terfenadine,Unknown,600,471.6734,0.4375,6.073,43.7,4.42,Basic,Class 4,Class 2,0.0477,0.00236,0.00236,0.03,NA,NA,0,5.226643622,4.646119117,4.758720281,0,0,0,4.871351802,0.03,NA,NA,NA,0.00446
66062,thioridazine hydrochloride,Less,800,370.5745,0.428571429,6.003,6.48,3.5,Basic,Class 4,Class 1,0.0233,0.00348,0.00348,0.00428,330.81,268.9763551,NA,4.922938958,4.635491927,4.624518353,NA,NA,NA,4.655479497,0.00428,NA,NA,NA,0.254
62935,trazodone hydrochloride,Less,600,371.8639,0.368421053,3.85,45.78,3.46,Basic,Class 2,Class 2,0.0342,0.00646,0.0365,0.049,1.97,1.46744898,0,3.559891008,0,0,NA,0,0,0,0.095,0.049,0.0365,1.46744898,1.401
5578,trimethoprim,Less,200,290.3177,0.285714286,0.981,105.51,0.6759,Basic,Class 2,Class 3,0.401,0.141,0.111,0.631,6.36,1.118795563,0,NA,NA,NA,0,0,0,NA,0.558,0.631,0.111,1.118795563,1
66064,trifluoperazine hydrochloride,Ambiguous,20,407.4956,0.428571429,4.692,9.72,4.3,Basic,Class 4,Class 1,0.0101,0.00306,0.00306,0.0061,NA,NA,NA,4.970457796,4.636305341,4.640158997,NA,NA,NA,4.468082999,0.0061,NA,NA,NA,0.00157
1986,acetazolamide,Most,1000,222.2454,0.25,-0.981,115.04,-0.645,Acidic,Class 3A,Class 4,0.788,0.466,0.135,0.306,1.92,0.847058824,0,1.872873482,0,0,0,0,0,0,0.117,0.306,0.135,0.847058824,13.8
16204922,warfarin sodium,Less,10,308.3279,0.157894737,2.901,67.51,0.9537,Acidic,Class 1A,Class 2,0.0155,0.212,0.212,0.0326,7.11,46.23680982,0,0,0,0,0,0,0,0,0.013202727,0.0326,NA,NA,2.203
64150,amantadine hydrochloride,Ambiguous,200,151.2487,1,1.995,26.02,-0.486,Basic,Class 2,Class 3,0.898,0.317,0.317,0.790909091,NA,NA,4.230016089,2.109003979,0,0,NA,NA,NA,0,0.790909091,NA,NA,NA,0.47
2284,baclofen,Less,80,213.6608,0.3,-0.62,63.32,-0.508,Zwitter,Class 3A,Class 3,0.822,0.453,0.453,0.7,NA,NA,0,0,0,0,0,0,0,0,0.7,NA,NA,NA,0.32556
2170,amoxapine,Ambiguous,400,313.7814,0.235294118,3.406,36.86,1.477,Basic,Class 2,Class 1,0.0911,0.00581,0.00581,0.1,NA,NA,0,NA,NA,NA,0,0,0,NA,0.1,NA,NA,NA,1.24
33613,amoxicillin,Less,1750,365.4042,0.4375,-1.872,132.96,-0.489,Zwitter,Class 3A,Class 3,0.9,0.544,0.544,0.8,NA,NA,0,0,0,0,0,0,0,0,0.8,NA,NA,NA,5.5
